@ID,X.12TH.GENDER,SU Race,X.12TH.FGEN.FLAG,X.12TH.FY.COHORT,X.12TH.TR.COHORT,X.12TH.PELL.FLAG
3321158,F,HIS,,16/FA,,Y
3348624,F,HIS,Y,18/FA,,Y
3351869,M,WHI,,18/FA,,
3333513,M,HIS,Y,16/FA,,Y
3316082,M,HIS,,,,
3323039,F,MUL,,15/FA,,
3344275,M,BL,,17/FA,,
3332271,F,WHI,,16/FA,,
3331410,F,HIS,,16/FA,,
3347070,F,WHI,,18/FA,,
3334899,M,WHI,,18/FA,,
3341618,M,MUL,,17/FA,,Y
3324011,F,WHI,,15/FA,,
3327818,F,AS,,15/FA,,
3331348,F,BL,,16/FA,,Y
3343467,M,WHI,,17/FA,,Y
3339497,F,AS,Y,,17/SP,
3330148,M,WHI,,15/FA,,
3352181,F,NRA,Y,18/FA,,
3322874,F,WHI,,15/FA,,
3344944,M,WHI,,17/FA,,
3349412,F,WHI,,18/FA,,Y
3343714,F,BL,,17/FA,,Y
3349545,M,WHI,Y,18/FA,,Y
3343317,F,HIS,,17/FA,,
3347230,M,WHI,,18/FA,,
3350573,M,WHI,Y,,18/FA,Y
3332787,M,WHI,,16/FA,,
3333310,F,HIS,,16/FA,,
3339931,F,WHI,,17/FA,,
3328191,M,WHI,,,15/FA,Y
3348324,M,HIS,,18/FA,,
3331582,F,WHI,,16/FA,,
3348232,M,WHI,,18/FA,,
3339937,F,WHI,,17/FA,,
3342926,M,BL,Y,17/FA,,
3348884,M,WHI,,18/FA,,Y
3341844,M,HIS,Y,17/FA,,Y
3352057,M,WHI,,18/FA,,
3322031,M,WHI,,15/FA,,
3330665,F,WHI,,16/FA,,
3333118,F,WHI,Y,16/FA,,
3326918,F,WHI,,15/FA,,
3347521,M,HIS,Y,,18/SP,Y
3349294,M,HIS,,18/FA,,
3323234,F,HIS,Y,15/FA,,Y
3325397,F,HIS,,15/FA,,Y
3345275,F,WHI,,,17/FA,
3352859,M,BL,,18/FA,,Y
3333425,F,WHI,,16/FA,,
3329211,M,WHI,,15/FA,,
3334615,F,WHI,,16/FA,,
3350934,F,WHI,,18/FA,,
3343984,M,WHI,,17/FA,,
3350402,F,WHI,,18/FA,,
2848487,F,WHI,,18/FA,,
834078,F,BL,,,,Y
3333140,M,WHI,,16/FA,,
3344518,M,WHI,,17/FA,,
3352824,M,WHI,,18/FA,,Y
3331942,F,HIS,,16/FA,,
3342178,F,WHI,,17/FA,,Y
3332937,M,HIS,,16/FA,,
3322206,M,WHI,,15/FA,,Y
3348319,F,AS,,18/FA,,
3346226,F,MUL,,18/FA,,
3331554,M,WHI,,16/FA,,
3339812,M,WHI,,17/FA,,
3314443,M,WHI,,16/FA,,
3327108,F,WHI,,15/FA,,
3324868,M,BL,,15/FA,,
3330547,F,BL,,17/FA,,
3350299,F,WHI,,18/FA,,Y
3335570,F,WHI,,16/FA,,Y
3349577,M,WHI,,18/FA,,
3341761,M,WHI,,17/FA,,
3232029,M,WHI,,15/FA,,Y
3340636,M,HIS,,17/FA,,
3323151,F,WHI,,15/FA,,
3339167,F,WHI,,17/FA,,
2913039,F,WHI,,16/FA,,
3348617,M,WHI,,18/FA,,
3333802,F,HIS,,16/FA,,
3353043,F,WHI,,18/FA,,
