STH.STUDENT,STH.TERM,SWU.STH.CODE.DESC,SWU.STH.REASON.DESC,SWU.12DH.START.TERM,SWU.12DH.ADMIT.STATUS,SWU.12DH.ORIG.START.TERM,SWU.12DH.ORIG.ADMIT.STATUS,SWU.LAST.T.TERM,SWU.12TH.FY.COHORT
3320271,18/FA,LOA-Student,LOA-Student,14/FA,1,,,17/FA,14/FA
3326411,18/FA,Study Abroad,USA,15/FA,1,,,19/S3,15/FA
3324937,18/FA,Study Abroad,USA,15/FA,1,,,19/SP,15/FA
3339036,18/FA,Study Abroad,France,17/FA,1,,,19/FA,17/FA
3332363,18/FA,LOA-Student,LOA-Student,16/FA,1,,,19/FA,16/FA
2924081,18/FA,LOA-Student,LOA-Student,13/FA,1,,,19/SP,13/FA
3332279,18/SP,Study Abroad,Hungary,16/FA,1,,,19/SP,16/FA
2839406,18/SP,Study Abroad,Austria,16/FA,2,,,19/FA,
3316340,18/SP,LOA-Student,LOA-Student,14/FA,1,,,17/SP,14/FA
3335090,18/SP,Study Abroad,France,16/FA,1,,,19/SP,16/FA
3322422,18/SP,Study Abroad,France,15/FA,1,,,19/SP,15/FA
3330628,18/SP,LOA-Student,LOA-Student,16/FA,1,,,17/S1,16/FA
3324663,18/SP,LOA-Student,LOA-Student,15/FA,1,,,17/SP,15/FA
3324667,18/SP,Study Abroad,Samoa,15/FA,1,,,19/SP,15/FA
3326376,18/SP,Study Abroad,South Africa,15/FA,1,,,19/S3,15/FA
3332635,18/SP,LOA-Student,LOA-Student,16/FA,1,,,17/SP,16/FA
3326771,18/SP,LOA-Student,LOA-Student,15/FA,1,,,17/SP,15/FA
3322305,18/SP,LOA-Student,LOA-Student,17/SP,2,,,17/SP,
3332286,18/SP,Study Abroad,France,16/FA,1,,,19/FA,16/FA
3332296,18/SP,Study Abroad,France,16/FA,1,,,19/FA,16/FA
3334911,18/SP,LOA-Student,LOA-Student,16/FA,1,,,17/SP,16/FA
2999025,18/SP,LOA-Student,LOA-Student,17/SP,2,,,17/FA,
3322822,18/SP,Study Abroad,USA,15/FA,1,,,19/FA,15/FA
3325066,18/SP,LOA-Student,LOA-Student,15/FA,1,,,19/SP,15/FA
3337808,18/SP,LOA-Student,LOA-Student,16/FA,2,,,19/FA,
3320271,18/SP,LOA-Student,LOA-Student,14/FA,1,,,17/FA,14/FA
3316260,18/SP,LOA-Student,LOA-Student,14/FA,1,,,17/SP,14/FA
2907520,18/SP,Study Abroad,Spain,14/FA,1,,,17/FA,14/FA
3331101,18/SP,LOA-Student,LOA-Student,16/FA,1,,,17/FA,16/FA
2924081,18/SP,Study Abroad,Italy,13/FA,1,,,19/SP,13/FA
3350227,19/FA,Study Abroad,United Kingdom,18/FA,1,,,19/SP,18/FA
3342084,19/FA,LOA-Student,LOA-Student,17/FA,1,,,19/SP,17/FA
3340637,19/FA,Study Abroad,Canada,17/FA,1,,,19/SP,17/FA
3339937,19/FA,Study Abroad,Sweden,17/FA,1,,,19/SP,17/FA
3348387,19/FA,Study Abroad,Australia,18/FA,1,,,19/SP,18/FA
3332897,19/FA,Study Abroad,Netherlands,16/FA,1,,,19/SP,16/FA
3346881,19/FA,Study Abroad,USA,18/FA,1,,,19/SP,18/FA
3340390,19/FA,Study Abroad,Spain,17/FA,1,,,19/S1,17/FA
3353815,19/FA,LOA-Student,LOA-Student,18/FA,2,,,19/SP,
3331050,19/FA,Study Abroad,USA,16/FA,1,,,19/S3,16/FA
3342753,19/FA,Study Abroad,Australia,17/FA,1,,,19/SP,17/FA
3340937,19/FA,Study Abroad,Ireland,17/FA,1,,,19/SP,17/FA
3333300,19/FA,Study Abroad,USA,16/FA,1,,,19/S2,16/FA
3331968,19/FA,Study Abroad,Mexico,16/FA,1,,,19/SP,16/FA
3339467,19/FA,Study Abroad,France,17/FA,1,,,19/SP,17/FA
3349049,19/FA,LOA-Student,LOA-Student,18/FA,1,,,19/SP,18/FA
3339489,19/FA,LOA-Student,LOA-Student,17/FA,1,,,19/S3,17/FA
3349682,19/FA,LOA-Student,LOA-Student,18/FA,1,,,19/SP,18/FA
3332184,19/FA,Study Abroad,Jordan,16/FA,1,,,19/SP,16/FA
3349593,19/FA,LOA-Student,LOA-Student,18/FA,1,,,19/SP,18/FA
3339522,19/FA,Study Abroad,USA,17/FA,1,,,19/SP,17/FA
3332199,19/FA,Study Abroad,Brazil,16/FA,1,,,18/SP,16/FA
3333199,19/FA,Study Abroad,USA,16/FA,1,,,19/S1,16/FA
3331605,19/FA,Study Abroad,USA,16/FA,1,,,19/S3,16/FA
3333536,19/FA,Study Abroad,Chile,16/FA,1,,,19/SP,16/FA
3340285,19/FA,Study Abroad,USA,17/FA,1,,,19/SP,17/FA
3343343,19/FA,LOA-Student,LOA-Student,17/FA,1,,,19/SP,17/FA
3331826,19/FA,Study Abroad,USA,16/FA,1,,,19/SP,16/FA
3352300,19/FA,LOA-Student,LOA-Student,18/FA,1,,,19/SP,18/FA
3339757,19/FA,Study Abroad,France,17/FA,1,,,19/SP,17/FA
3331790,19/FA,LOA-Student,LOA-Student,16/FA,1,,,19/S3,16/FA
3351914,19/FA,LOA-Student,LOA-Student,18/FA,1,,,18/FA,18/FA
3343463,19/FA,Study Abroad,Ireland,17/FA,1,,,19/SP,17/FA
